[30-Mar-2025 10:41:21 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$heure_depart in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 222
[30-Mar-2025 10:41:21 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$date_arrivee in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 225
[30-Mar-2025 10:41:21 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$heure_arrivee in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 225
[30-Mar-2025 10:41:21 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$nb_place in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 233
[30-Mar-2025 10:41:21 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$prix_personne in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 236
[30-Mar-2025 11:14:26 Europe/Berlin] PHP Warning:  Undefined variable $userInfo in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 199
[30-Mar-2025 11:14:26 Europe/Berlin] PHP Warning:  foreach() argument must be of type array|object, null given in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 199
[30-Mar-2025 11:14:26 Europe/Berlin] PHP Warning:  Undefined variable $userInfo in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 199
[30-Mar-2025 11:14:26 Europe/Berlin] PHP Warning:  foreach() argument must be of type array|object, null given in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 199
[30-Mar-2025 11:14:26 Europe/Berlin] PHP Warning:  Undefined variable $userInfo in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 199
[30-Mar-2025 11:14:26 Europe/Berlin] PHP Warning:  foreach() argument must be of type array|object, null given in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 199
[30-Mar-2025 11:14:26 Europe/Berlin] PHP Warning:  Undefined variable $userInfo in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 199
[30-Mar-2025 11:14:26 Europe/Berlin] PHP Warning:  foreach() argument must be of type array|object, null given in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 199
